Branch	Duplications	Transfers	Losses	Originations	CopyNum
122	1821.0399999999386	417.7299999999873	635.7699999999685	187.3699999999998	12545.020000000486
123	1019.6099999999628	904.0199999999718	2302.119999999995	255.81999999999897	10433.120000000283
124	1830.7699999999477	1249.3399999999647	3319.1000000000545	463.29999999999336	9910.570000000302
125	909.1599999999867	1409.9599999999723	3874.1300000000742	139.6300000000008	6475.420000000164
126	1333.5499999999759	546.2599999999848	1088.2899999999636	142.83000000000004	7720.790000000176
127	1717.1399999999583	1712.7499999999661	874.9699999999705	957.0099999999836	7614.710000000111
128	699.7899999999813	1337.809999999979	2976.1400000000644	121.97000000000098	7089.540000000142
129	1144.2999999999618	1176.119999999967	979.6499999999636	223.71999999999977	11111.290000000146
130	3578.3300000000727	818.3299999999773	1766.6599999999507	586.4099999999955	11122.520000000295
131	1695.3799999999521	507.63999999998305	2837.4600000000414	437.57999999999754	10754.650000000456
132	854.949999999973	1109.7799999999736	1727.539999999946	147.70000000000118	10555.790000000214
133	1836.9799999999534	2271.7199999999816	2551.950000000015	226.4399999999995	9686.260000000253
134	478.2499999999896	748.5899999999791	1887.4799999999607	110.54000000000062	6786.440000000211
135	488.7799999999871	684.029999999981	2589.470000000017	105.62000000000099	7906.110000000185
136	1559.2799999999545	1565.0099999999509	1957.8099999999458	489.51999999999225	9546.800000000138
137	571.869999999982	411.839999999987	1888.709999999941	148.66000000000045	10951.510000000317
138	352.1299999999929	751.7499999999785	1328.9399999999594	65.12999999999994	7336.540000000145
139	528.1099999999836	663.0399999999796	2259.8799999999774	114.98000000000098	9217.150000000247
140	577.3899999999854	742.1999999999746	1849.0299999999602	198.4599999999999	7890.800000000131
141	1463.1799999999582	659.0699999999778	718.0899999999662	192.65999999999983	11707.850000000328
142	1116.9799999999734	1151.1199999999728	1813.8399999999715	118.70000000000101	7496.470000000142
143	1210.8999999999658	1260.4699999999564	1373.1699999999546	217.8099999999993	10170.900000000282
144	658.1199999999834	914.2099999999779	1657.6299999999562	129.10000000000178	8221.78000000012
145	2173.4699999999752	663.9099999999783	1439.3299999999413	383.69999999999675	10111.030000000268
